,folder,name,question,Item Type,Section,Type,Program,Language,Level,ID,SectionShort,date
1,Assumptions/eur-assumptions-101-en,eur-assumptions-101-en,"*Testing effect* 
Research has shown that when people learn words from a foreign language they better remember those words if they first study the words and then test themselves trying to recollect the words, compared to just studying the words twice. A researcher from the institute of psychology wants to know whether this so-called testing effect can be proven to exist in the classroom. She divides a group of 60 students into three groups [condition]. The students in group 1 study a list of 30 French words and their Dutch translation twice (1 = restudy). The students in group 2 study the list of 30 French words and their Dutch translation once and then test themselves (2 = testing). The students in group 3 just study the list of 30 French words and their Dutch translation once without testing themselves (3 = study_once). A week after the study phase, the students took a test where they had to give the Dutch translation of the 30 French words that they studied earlier. The total number of correct translations is represented by the variable score [score]. Additionally, the researcher included for each student his/her French grade [French].
Open the data file.
Conduct an analysis to determine whether there is a difference between the three conditions [condition] in terms of total number of correct translations [score]. Test whether there is a violation of the homogeneity of variances assumption for this analysis. What is the F-value for this assumption test? (3 decimals)
**Download**: [SPSS file](eur-assumptions-101-en-data.sav), [CSV file](eur-assumptions-101-en-data.csv)
",num,Assumptions/Homogeneity of variance/Levene's test,Performing analysis,SPSS,English,Statistical Literacy,622fe,Assumptions/Levene's test,2026-01-27
3,Assumptions/eur-assumptions-102-en,eur-assumptions-102-en,"*Testing effect* 
Research has shown that when people learn words from a foreign language they better remember those words if they first study the words and then test themselves trying to recollect the words, compared to just studying the words twice. A researcher from the institute of psychology wants to know whether this so-called testing effect can be proven to exist in the classroom. She divides a group of 60 students into three groups [condition]. The students in group 1 study a list of 30 French words and their Dutch translation twice (1 = restudy). The students in group 2 study the list of 30 French words and their Dutch translation once and then test themselves (2 = testing). The students in group 3 just study the list of 30 French words and their Dutch translation once without testing themselves (3 = study_once). A week after the study phase, the students took a test where they had to give the Dutch translation of the 30 French words that they studied earlier. The total number of correct translations is represented by the variable score [score]. Additionally, the researcher included for each student his/her French grade [French].
Open the data file.
Conduct an analysis to determine whether the regression lines for the relation between French grade [French] and test performance [score] differ for the three conditions [condition]. What is p-value corresponding to the F-test of the homogeneity of regression slopes assumption? (3 decimals)
**Download**: [SPSS file](eur-assumptions-102-en-data.sav), [CSV file](eur-assumptions-102-en-data.csv)
",num,"Assumptions/Homogeneity of variance/Levene's test, Inferential Statistics/NHST/p-value",Performing analysis,SPSS,English,Statistical Literacy,89e29,Assumptions/Levene's test,2026-01-27
5,Assumptions/eur-assumptions-103-en,eur-assumptions-103-en,"*Long-term detention*
Currently, in the Netherlands, there is debate about the usefulness of long-term detention with psychiatric treatment. A psychiatrist of a Dutch long-term detention centre collected data about aggression of detainees. The detainees were observed during group treatment sessions and the level of aggressive behavior was rated at four points in time: (1) 2 days after their admission to the centre [T1_aggression] ; (2) half a year after admission [T2_aggression]; (3) a year after admission [T3_aggression]; and (4) a year and a half after admission [T4_aggression]. The level of aggressive behavior was rated by means of a semi-structured interview, resulting in scores ranging from 0 (not aggressive) to 40 (extremely aggressive). Furthermore, the psychiatrist registered whether detainees suffered from psychosis or not [psychosis].
Open the data file.
Perform the relevant ANOVA to test for differences on the four aggression measurements and make sure to test the sphericity assumption. What is the value of Greenhouse-Geisser Epsilon for this model? (3 decimals)
**Download**: [SPSS file](eur-assumptions-103-en-data.sav), [CSV file](eur-assumptions-103-en-data.csv)
",num,"Assumptions/Sphericity/Epsilon, Inferential Statistics/Parametric Techniques/ANOVA/Oneway repeated measures ANOVA",Performing analysis,SPSS,English,Statistical Literacy,0140d,Assumptions/Epsilon,2026-01-12
7,Assumptions/eur-assumptions-104-en,eur-assumptions-104-en,"* Testing effect*
Research has shown that when people have to learn faces of strangers they can remember them better in the long run when they study the faces first and then test themselves with matching the faces to the corresponding name, than when they study the faces twice. A researcher at the Institute of Psychology wants to know whether this so-called testing effect reveals itself in the classroom. She divides a group of 60 VWO students into three groups [condition]. The students in group 1 study a list of 30 faces and their names twice in a row (1 = restudy), the students in group 2 study the same faces and their names once and then test themselves (2 = testing). This involves them putting their hand on the list of people's names and figuring out for themselves the name of the person in the picture. Students in grade 3 study the faces and names only 1 time (3 = study_once). One week after studying, all students are given a test where they are shown the 30 faces and have to give the corresponding name. The total number of correctly identified people is shown in the variable score [score]. The researcher further collected a social skill score [social] for each student.
Open the data file.
Do an analysis to determine if there is a difference between the three conditions [condition] on the number of correctly identified people [score]. Test whether the assumption of homogeneous variance in the three conditions is violated. What is the F value associated with this assumption test? (3 decimal places)
* Download**: [SPSS file](eur-assumptions-104-en-data.sav), [CSV file](eur-assumptions-104-en-data.csv)
",num,Assumptions/Homogeneity of variance/Levene's test,Performing analysis,SPSS,English,Statistical Literacy,3b6d7,Assumptions/Levene's test,2026-01-27
9,Assumptions/eur-assumptions-105-en,eur-assumptions-105-en,"* Testing effect*
Research has shown that when people have to learn faces of strangers they can remember them better in the long run when they study the faces first and then test themselves with matching the faces to the corresponding name, than when they study the faces twice. A researcher at the Institute of Psychology wants to know if this so-called testing effect reveals itself in the classroom. She divides a group of 60 4VWO students into three groups [condition]. The students in group 1 study a list of 30 faces and their names twice in a row (1 = restudy), the students in group 2 study the same faces and their names once and then test themselves (2 = testing). This involves them putting their hand on the list of people's names and figuring out for themselves the name of the person in the picture. Students in grade 3 study the faces and names only 1 time (3 = study_once). One week after studying, all students are given a test where they are shown the 30 faces and have to give the corresponding name. The total number of correctly identified people is shown in the variable score [score]. The researcher further collected a social skill score [social] for each student.
Open the data file.
Perform an analysis to determine whether the regression lines representing the relationship between social skill score [social] and performance on the test [score] differ for the three conditions [condition]. What is the p-value associated with the F test that tests the homogeneity of regression assumption? (3 decimal places)
* Download**: [SPSS file](eur-assumptions-105-en-data.sav), [CSV file](eur-assumptions-105-en-data.csv)
",num,"Assumptions/Homogeneity of variance/Levene's test, Inferential Statistics/NHST/p-value",Performing analysis,SPSS,English,Statistical Literacy,6489f,Assumptions/Levene's test,2026-01-27
11,Assumptions/eur-assumptions-106-en,eur-assumptions-106-en,"*Social skills and Problem Based Learning (PBL)*
A researcher from Erasmus University Rotterdam is investigating the possible advantages of PBL on students’ social competencies and has gathered social competency scores about students on four occasions. These scores come from observations by the researcher 2 days after their first PBL group (T1_social), six months after their first PBL tutor group (T2­_social), a year after their first PBL tutor group (T3_social) and a year and a half after their first PBL tutor group (T4_social). At these four occasions, social competence was measured using a semi-structured interview with scores varying from 0 (not social) to 40 (very social). Additionally, the researcher determines whether a student is shy or not [SHY]. 
Open the data file.
Test whether the mean level of social compentency differs between the four points in time. What is the value of Greenhouse-Geisser Epsilon for this model? (3 decimals)
**Download**: [SPSS file](eur-assumptions-106-en-data.sav), [CSV file](eur-assumptions-106-en-data.csv)
",num,Assumptions/Sphericity/Epsilon,Performing analysis,SPSS,English,Statistical Literacy,304ab,Assumptions/Epsilon,2026-01-12
268,Descriptive-statistics/eur-descriptive-116-en,eur-descriptive-116-en,"*Work for psychologists and educators.*
A scientist was commissioned to investigate whether psychology and education graduates succeed in finding level jobs. The researcher designed his own questionnaire consisting of 12 Likert items with 5 response options ranging from completely disagree (1) to completely agree (5). An example of an item is: I had to put a lot of effort to find a job opening for a level job. The responses of 608 educators (1) and psychologists (2), distinguished in the variable [psy_ped], to the 12 items are shown in the data file. NOTES. The more the respondent agrees with the statements, the more difficult he/she finds it to find a level job.
Open the data file.
Which of the 12 items has the least variation in respondents' answers (no decimals)?
* Download**: [SPSS file](eur-descriptive-116-nl-data.sav), [CSV file](eur-descriptive-116-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation,"Interpreting output, Performing analysis",SPSS,English,Statistical Literacy,04b15,Descriptive statistics/Standard Deviation,2026-01-12
270,Descriptive-statistics/eur-descriptive-117-en,eur-descriptive-117-en,"*Work for psychologists and educators.*
A scientist was commissioned to investigate whether psychology and education graduates succeed in finding level jobs. The researcher designed his own questionnaire consisting of 12 Likert items with 5 response options ranging from completely disagree (1) to completely agree (5). An example of an item is: I had to put a lot of effort to find a job opening for a level job. The responses of 608 educators (1) and psychologists (2), distinguished in the variable [psy_ped], to the 12 items are shown in the data file. NOTES. The more the respondent agrees with the statements, the more difficult he/she finds it to find a level job.
Open the data file.
What is the highest correlation between an item and the corrected item total score? (3 decimal places)
* Download**: [SPSS file](eur-descriptive-117-nl-data.sav), [CSV file](eur-descriptive-117-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation,Performing analysis,SPSS,English,Statistical Literacy,8fed6,Descriptive statistics/Correlation,2026-01-12
272,Descriptive-statistics/eur-descriptive-118-en,eur-descriptive-118-en,"*Work for psychologists and educators.*
A scientist was commissioned to investigate whether psychology and education graduates succeed in finding level jobs. The researcher designed his own questionnaire consisting of 12 Likert items with 5 response options ranging from completely disagree (1) to completely agree (5). An example of an item is: I had to put a lot of effort to find a job opening for a level job. The responses of 608 educators (1) and psychologists (2), distinguished in the variable [psy_ped], to the 12 items are shown in the data file. NOTES. The more the respondent agrees with the statements, the more difficult he/she finds it to find a level job.
Open the data file.
Calculate the total score as the sum of all responses to all items. Take into account the misses when calculating the total score and exclude individuals who gave less than 8 answers. Round total scores to whole numbers. What is the mean of the total score? (3 decimal places)
* Download**: [SPSS file](eur-descriptive-118-nl-data.sav), [CSV file](eur-descriptive-118-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Measures of Location/Mean,Performing analysis,SPSS,English,Statistical Literacy,e92a7,Descriptive statistics/Mean,2026-01-12
274,Descriptive-statistics/eur-descriptive-119-en,eur-descriptive-119-en,"*Knowledge about the professional field.*
A knowledge test about the professional field of psychologists and pedagogues consists of 20 items and was administered to 202 students in the master's program in psychology and pedagogy. The total number of correctly answered questions is shown in the variable [total score].
Open the data file.
Calculate the percentile scores. What percent of all students have a total score of 8 or lower (1 decimal place).
* Download**: [SPSS file](eur-descriptive-119-nl-data.sav), [CSV file](eur-descriptive-119-nl-data.csv)
",num,Descriptive statistics/Score interpretation/Percentile,Performing analysis,SPSS,English,Statistical Literacy,9a60c,Descriptive statistics/Percentile,2026-01-12
